address,contact,cuisines,event_date,event_desc,event_name,facility,featured_collections,geo_location_lat,geo_location_long,known_for,link,name,price_beer,price_two,price_two_comp,rating,timetable,votes,what_people_love_here
"15, Elgin Road, Civil Lines, Allahabad",+91 9336099520,"North Indian, Chinese",,,,"Full Bar Available,Indoor Seating",,25.4572094563,81.8336777017,,https://www.zomato.com/allahabad/tripti-bar-nawabs-restaurant-civil-lines,Tripti Bar & Nawab's Restaurant,Cash,800,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,-,"[['Mon', '12noon – 10pm'], ['Tue', '12noon – 10pm'], ['Wed', '12noon – 10pm'], ['Thu', '12noon – 10pm'], ['Fri', '12noon – 10pm'], ['Sat', '12noon – 10pm'], ['Sun', '12noon – 10pm']]",N,
"Commercial Road, Elk Hill, Ooty","0423 2446483,  0423 2440118",Finger Food,,,,"Full Bar Available,Above 18 Only,Indoor Seating",,11.4100262625,76.7067997903,,https://www.zomato.com/ooty/hotel-hills-palace-bar-elk-hill,Hotel Hill's Palace Bar,110,"1,000",6 pints of beer + 2 appetizers,-,"[['Mon', '11am – 11pm'], ['Tue', '11am – 11pm'], ['Wed', '11am – 11pm'], ['Thu', '11am – 11pm'], ['Fri', '11am – 11pm'], ['Sat', '11am – 11pm'], ['Sun', '11am – 11pm']]",N,
"24, Ground Floor, Parth Empire, Opposite Maninagar Police Station, Balvatika, Rambagh, Mani Nagar, Ahmedabad",+91 9879790101,North Indian,,,,"Serves Alcohol,Indoor Seating,Serves Cocktails",,22.9975030000,72.6022950000,,https://www.zomato.com/ahmedabad/dtalli-egg-mani-nagar,D'Talli Egg,Cash,700,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.4,"[['Mon', '11:30am – 3pm, 6pm – 12midnight'], ['Tue', '11:30am – 3pm, 6pm – 12midnight'], ['Wed', '11:30am – 3pm, 6pm – 12midnight'], ['Thu', '11:30am – 3pm, 6pm – 12midnight'], ['Fri', '11:30am – 3pm, 6pm – 12midnight'], ['Sat', '11:30am – 3pm, 6pm – 12midnight'], ['Sun', '11:30am – 3pm, 6pm – 12midnight']]",21,
"7th Floor, Jaipur Centre, B2 Bypass, Tonk Road, Jaipur",+91 9928740777,"Finger Food, Italian, Continental, Chinese",,,,"Wheelchair Accessible,Wine and Beer,Live Sports Screening,Nightlife,Indoor Seating,Valet Parking Available,Table booking recommended",,26.8396014445,75.7944537699,,https://www.zomato.com/jaipur/club-regio-by-asteria-tonk-road,CLUB REGIO By Asteria,220,"1,800",6 pints of beer + 2 appetizers,2.5,"[['Mon', '1pm – 12midnight'], ['Tue', '1pm – 12midnight'], ['Wed', '1pm – 12midnight'], ['Thu', '1pm – 12midnight'], ['Fri', '1pm – 1am'], ['Sat', '1pm – 1am'], ['Sun', '1pm – 1am']]",16,
"Opposite MGM Hospital, MGM Road, CIDCO, Aurangabad",+91 9422175443,"North Indian, Chinese",,,,"Home Delivery,Full Bar Available,Outdoor Seating",,19.8765728664,75.3560396656,,https://www.zomato.com/aurangabad/green-park-cidco,Green Park,Cash,600,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.7,"[['Mon', '12noon – 12midnight'], ['Tue', '12noon – 12midnight'], ['Wed', '12noon – 12midnight'], ['Thu', '12noon – 12midnight'], ['Fri', '12noon – 12midnight'], ['Sat', '12noon – 12midnight'], ['Sun', '12noon – 12midnight']]",27,
"Dhaliara, Near first Heritage village of India, Pragpur, Kangra.",065535 22276,"Chinese, Continental, Italian, North Indian, South Indian",,,,"Breakfast,Full Bar Available,Free Parking,Outdoor Seating,Serves Cocktails,Private Dining Area Available,Indoor Seating",,31.8342769379,76.1779638446,,https://www.zomato.com/shimla/deejay-resort-restaurant-summer-hill,Deejay Resort & Restaurant,Cash,"1,000",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,-,,N,
"Hotel Samrat Regency, The Mall, Summer Hill, Shimla",+91 9816025211,North Indian,,,,"Full Bar Available,Indoor Seating,Table Reservation Not Required",,31.1020057283,77.1776944399,,https://www.zomato.com/shimla/viva-bar-restaurant-summer-hill,Viva Bar & Restaurant,Cash,"1,000",6 pints of beer + 2 appetizers,-,"[['Mon', '7am – 11pm'], ['Tue', '7am – 11pm'], ['Wed', '7am – 11pm'], ['Thu', '7am – 11pm'], ['Fri', '7am – 11pm'], ['Sat', '7am – 11pm'], ['Sun', '7am – 11pm']]",N,
"318, 3rd Floor, Elante Mall, Chandigarh Industrial Area, Chandigarh","0172 5000787,  0172 5000788","North Indian, Mughlai, Chinese, Chettinad",,,,"Full Bar Available,Mall Parking,Indoor Seating,Table booking recommended,Brunch",,30.7060072440,76.8010257930,"Two things - the delicious North Indian and Mughlai delicacies, and amazing South Indian preparations!",https://www.zomato.com/chandigarh/swagath-restaurant-bar-chandigarh-industrial-area,Swagath Restaurant & Bar,190,"1,800",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,4.0,"[['Mon', '11am – 11:30pm'], ['Tue', '11am – 11:30pm'], ['Wed', '11am – 11:30pm'], ['Thu', '11am – 11:30pm'], ['Fri', '11am – 11:30pm'], ['Sat', '11am – 11:30pm'], ['Sun', '11am – 11:30pm']]",236,"Food,Look & Feel"
"Plot 362, Nemi Sagar Colony, Vaishali Nagar, Jaipur",0141 6652365,"North Indian, Chinese, Mughlai, Italian",,,,"Home Delivery,Full Bar Available,Wifi,Indoor Seating,Outdoor Seating",",Laal maas,Meat Cravings",26.9151402755,75.7509966195,Spicy authentic Laal Maas,https://www.zomato.com/jaipur/handi-restaurant-vaishali-nagar,Handi Restaurant,200,"1,700",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.8,"[['Mon', '12noon – 3:30pm, 6:30pm – 11pm'], ['Tue', '12noon – 3:30pm, 6:30pm – 11pm'], ['Wed', '12noon – 3:30pm, 6:30pm – 11pm'], ['Thu', '12noon – 3:30pm, 6:30pm – 11pm'], ['Fri', '12noon – 3:30pm, 6:30pm – 11pm'], ['Sat', '12noon – 3:30pm, 6:30pm – 11pm'], ['Sun', '12noon – 3:30pm, 6:30pm – 11pm']]",551,"Food,Service,Look & Feel"
"Hotel Manor, Kranti Chowk, Usmanpura, Aurangabad",0240 2334773,Finger Food,,,,"Full Bar Available,Nightlife,Indoor Seating,Wifi",,19.8726245956,75.3282419220,,https://www.zomato.com/aurangabad/d-sutra-hotel-manor-usmanpura,D Sutra - Hotel Manor,200,"1,500",6 pints of beer + 2 appetizers,3.3,"[['Mon', '24 Hours'], ['Tue', '24 Hours'], ['Wed', '24 Hours'], ['Thu', '24 Hours'], ['Fri', '24 Hours'], ['Sat', '24 Hours'], ['Sun', '24 Hours']]",9,
"53-54E, Sarabha Nagar, Ludhiana",0161 5083666,"North Indian, Continental, Italian",,,,"Home Delivery,Full Bar Available,Indoor Seating,Rooftop,Above 18 Only,Table booking recommended",,30.8931479080,75.8223064989,,https://www.zomato.com/ludhiana/the-old-school-sarabha-nagar,The Old School,Cash,"1,500",6 pints of beer + 2 appetizers,3.6,"[['Mon', '11am – 11:30pm'], ['Tue', '11am – 11:30pm'], ['Wed', '11am – 11:30pm'], ['Thu', '11:30am – 11:30pm'], ['Fri', '11am – 11:30pm'], ['Sat', '11am – 12midnight'], ['Sun', '11am – 12midnight']]",94,
"2nd Floor, MBD Neopolis Mall, Ferozpur Road, Ludhiana Junction, Ludhiana",080 49653591,"Finger Food, North Indian",,,,"Full Bar Available,Mall Parking,Serves Cocktails,Nightlife,Indoor Seating,Live Entertainment,Table booking recommended,Smoking Area,Craft Beer",,30.8829123916,75.7819496468,,https://www.zomato.com/ludhiana/smaaash-cafe-brewpub-rajguru-nagar,Smaaash Cafe & Brewpub,299,850,6 pints of beer + 2 appetizers,3.8,"[['Mon', '11am – 11pm'], ['Tue', '11am – 11pm'], ['Wed', '11am – 11pm'], ['Thu', '11am – 11pm'], ['Fri', '11am – 11pm'], ['Sat', '11am – 11pm'], ['Sun', '11am – 11pm']]",97,"Food,Service"
"SCO 333 & 334, Sector 35 B, Sector 35, Chandigarh","0172 2607728,  0172 2667456","North Indian, Mughlai",,,,"Home Delivery,Beer,Table booking recommended,Wifi,Indoor Seating",",Family friendly",30.7247323097,76.7652954161,"being the oldest ethnic Indian restaurant, serving mouth watering North Indian delicacies!",https://www.zomato.com/chandigarh/pashtun-sector-35,Pashtun,Cash,950,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.9,"[['Mon', '11am – 11pm'], ['Tue', '11am – 11pm'], ['Wed', '11am – 11pm'], ['Thu', '11am – 11pm'], ['Fri', '11am – 11pm'], ['Sat', '11am – 11pm'], ['Sun', '11am – 11pm']]",500,"Food,Service,Look & Feel"
"Holiday Inn Jaipur City Centre, Commercial Plot 1, Sardar Patel Road, Bais Godam, Jaipur",0141 6652301,"Continental, Mexican, Finger Food, North Indian",,,,"Wheelchair Accessible,Full Bar Available,Live Sports Screening,Valet Parking Available,Live Music,Table booking recommended,Smoking Area,Wifi,Nightlife,Indoor Seating",",Beer in a Bar,Live Music,Artisan Cocktails,Food Hygiene Rated Restaurants In Jaipur,Boozy Bars",26.9028521204,75.7930167764,,https://www.zomato.com/jaipur/roadhouse-bar-grill-holiday-inn-jaipur-city-centre-bais-godam,Roadhouse Bar & Grill - Holiday Inn Jaipur City Centre,300,"2,600",6 pints of beer + 2 appetizers,4.4,"[['Mon', '11am – 11pm'], ['Tue', '11am – 11pm'], ['Wed', '11am – 11pm'], ['Thu', '11am – 11pm'], ['Fri', '11am – 11pm'], ['Sat', '11am – 11pm'], ['Sun', '11am – 11pm']]",692,"Food,Service,Look & Feel"
"CBS Road, Samarth Nagar, Near, Gulmandi, Aurangabad",0240 2339060,"North Indian, Chinese",,,,"Breakfast,Full Bar Available,Indoor Seating",,19.8783685056,75.3177799657,,https://www.zomato.com/aurangabad/hotel-kartiki-gulmandi,Hotel Kartiki,Cash,500,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,2.8,"[['Mon', '7am – 11pm'], ['Tue', '7am – 11pm'], ['Wed', '7am – 11pm'], ['Thu', '7am – 11pm'], ['Fri', '7am – 11pm'], ['Sat', '7am – 11pm'], ['Sun', '7am – 11pm']]",5,
"345, The Status Hotel, Naveen Market, Mall Road, Kanpur",+91 8400058000,North Indian,,,,"Home Delivery,Full Bar Available,Indoor Seating,Smoking Area",,undefined,undefined,,https://www.zomato.com/kanpur/barbar-mall-road,BarBar,Cash,800,6 pints of beer + 2 appetizers,NEW,"[['Mon', '11am – 10pm'], ['Tue', '11am – 10pm'], ['Wed', '11am – 10pm'], ['Thu', '11am – 10pm'], ['Fri', '11am – 10pm'], ['Sat', '11am – 10pm'], ['Sun', '11am – 10pm']]",N,
"Radisson Blu Hotel, MBD Neopolis Mall, Ferozepur Road, Rajguru Nagar, Ludhiana",+91 8054715120,Finger Food,,,,"Full Bar Available,Indoor Seating,Luxury Dining,Wifi,Live Sports Screening,Valet Parking Available,Smoking Area,Nightlife",,30.8827118366,75.7813595608,,https://www.zomato.com/ludhiana/peg-bar-radisson-blu-hotel-rajguru-nagar,.Peg Bar - Radisson Blu Hotel,Cash,"2,500",6 pints of beer + 2 appetizers,4.0,"[['Mon', '12noon – 11:30pm'], ['Tue', '12noon – 11:30pm'], ['Wed', '12noon – 11:30pm'], ['Thu', '12noon – 11:30pm'], ['Fri', '12noon – 11:30pm'], ['Sat', '12noon – 11:30pm'], ['Sun', '12noon – 11:30pm']]",57,Food
"Terminal 5 Restaurant /Bar/Banquets/kittyhalls , Adjacent MBD mall, Ferozepur Road, Rajguru Nagar, Ludhiana","+91 7307325555,  +91 7307315555","North Indian, Chinese, Continental",,,,"Full Bar Available,Smoking Area,Indoor Seating,Live Sports Screening,Valet Parking Available,Live Entertainment,Free Parking,Live Music,Nightlife,Private Dining Area Available,Serves Cocktails,Table booking recommended,Luxury Dining",,30.8836323145,75.7806920260,,https://www.zomato.com/ludhiana/t-5-restaurant-lounge-bar-rajguru-nagar,T 5 Restaurant & Lounge Bar,Cash,"1,500",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.3,"[['Mon', '12noon – 4pm, 7pm – 11pm'], ['Tue', '12noon – 4pm, 7pm – 11pm'], ['Wed', '12noon – 4pm, 7pm – 11pm'], ['Thu', '12noon – 4pm, 7pm – 11pm'], ['Fri', '12noon – 4pm, 7pm – 11pm'], ['Sat', '12noon – 4pm, 7pm – 11pm'], ['Sun', '12noon – 4pm, 7pm – 11pm']]",66,Look & Feel
"MG Marg, Arithang, Gangtok",+91 9474528217,,,,,"Breakfast,Full Bar Available,Indoor Seating",,27.3294266337,88.6124114692,,https://www.zomato.com/gangtok/new-bar-restaurant-arithang,New Bar & Restaurant,Cash,450,6 pints of beer + 2 appetizers,-,"[['Mon', '9:30am – 9:30pm'], ['Tue', '9:30am – 9:30pm'], ['Wed', '9:30am – 9:30pm'], ['Thu', '9:30am – 9:30pm'], ['Fri', '9:30am – 9:30pm'], ['Sat', '9:30am – 9:30pm'], ['Sun', '9:30am – 9:30pm']]",N,
"SCO 1005, Sector 74 A, SAS, Connaught Plaza, Airport Road, TDI City, Sector 71, Mohali",+91 9127852769,"North Indian, Italian, Finger Food",,,,"Full Bar Available,Mall Parking,Outdoor Seating,Table reservation required,Live Sports Screening,Nightlife,Serves Cocktails,Wifi,Indoor Seating",,undefined,undefined,,https://www.zomato.com/chandigarh/the-beer-cafe-sector-71-mohali,The Beer Cafe,125,"1,500",6 pints of beer + 2 appetizers,3.5,"[['Mon', '11am – 11pm'], ['Tue', '11am – 11pm'], ['Wed', '11am – 11pm'], ['Thu', '11am – 11pm'], ['Fri', '11am – 11pm'], ['Sat', '11am – 11pm'], ['Sun', '11am – 11pm']]",41,
